normal_tamil,theni_tamil
கீபோர்டுனா என்ன,கீபோர்டுனா என்ன
மவுஸ் பத்திசொல்லுங்க,மவுஸ் பத்திசொல்லுங்க
கோடிங்குனா என்ன,கோடிங்குனா என்னங்கப்பு
ஹோம்வொர்க் பண்ண AI ஹெல்ப் பண்ணுங்கமா,ஹோம்வொர்க் பண்ண AI ஹெல்ப் பண்ணுங்கமா
ஒரு ஸ்டடி பிளான் ரெடி பண்ணுங்க,ஒரு ஸ்டடி பிளான் ரெடி பண்ணுங்க
ஒரு டூ டூ லிஸ்ட் போடுங்க,இன்னைக்கு செய்ய வேண்டிய வேலைக்கு ஒரு லிஸ்ட் போடு
ஒரு வொர்க்ஷீட் ரெடி பண்ணுங்க,ஒரு வொர்க்ஷீட் ரெடி பண்ணி குடுங்க
இதை PDF-ஆ மாத்துங்க,இத PDF-ஆ மாத்தி குடுங்க
இதை நல்லா கலர்ஃபுல்லா மாத்துங்க,இத கொஞ்சம் கும்முன்னு மாத்து
ஒரு டேபிள் ஃபார்மேட் ரெடி பண்ணுங்க,ஒரு டேபிள் ஃபார்மேட் ரெடி பண்ணுங்க
இதுல எத்தனை வார்த்தை இருக்குன்னு எண்ணுங்க,இதுல எத்தனை வார்த்தை இருக்குன்னு எண்ணிசொல்லுங்க
இதை சத்தமா படியுங்க,இத சத்தமா படிச்சு காட்டு
ஃபிளாஷ் கார்ட்ஸ் ரெடி பண்ணுங்க,பிளாஷ் கார்ட்ஸ் ரெடி பண்ணுங்க
ஒரு க்விஸ் ரெடி பண்ணுங்க,ஒரு க்விஸ் ரெடி பண்ணுங்க
இந்த புதிரை விடுவியுங்க,இந்த புதிரை விடுவியுங்க
இது என்ன ஷேப்னு கண்டுபிடியுங்க,இது என்ன ஷேப்னு கண்டுபிடி
பதில் என்னன்னு கெஸ் பண்ணுங்க,பதில் என்னன்னு கெஸ் பண்ணுங்க
இதுக்கு அடுத்து என்ன வரும்,இதுக்கு அடுத்து என்ன வரும்னு கெஸ் பண்ணுங்க
லாஜிக்கலான ஒரு கேள்வி கேளுங்க,லாஜிக்கலான ஒரு கேள்வி கேளு
மூளைக்கு வேலை குடுங்கக்குற மாதிரி ஒரு கேள்வி,மூளைக்கு வேலை குடுங்கக்குற மாதிரி ஒரு கேள்வி
இதுல எது வித்தியாசமா இருக்குன்னு கண்டுபிடியுங்க,இதுல எது வித்தியாசமா இருக்குன்னு கண்டுபிடி
இது உண்மையா இல்ல பொய்யா,இது உண்மையா இல்ல பொய்யா
பொருத்துக,பொருத்துக
சரியான பதிலை தேர்ந்தெடுங்க,கரெக்டான பதில டிக் பண்ணுங்க
குழந்தைகளுக்காக ஒரு பாட்டு எழுதுங்க,குழந்தைகளுக்கு ஒரு பாட்டு எழுது
ஏபிசிடி பாட்டு ஒன்னு ரெடி பண்ணுங்க,ஏபிசிடி பாட்டு ஒன்னுசொல்லுங்க
நம்பர்ஸ் வச்சு ஒரு ரைம்ஸ் எழுதுங்க,நம்பர்ஸ் வச்சு ஒரு ரைம்ஸ்
ஆக்ஷன் சாங் ஒன்னுசொல்லுங்க,ஆக்ஷன் சாங் ஒன்னுசொல்லுங்க
விலங்குகள் பத்தி ஒரு கவிதைசொல்லுங்க,மிருகங்கள் பத்தி ஒரு கவிதைசொல்லுங்க
ஸ்கூல் பத்தி ஒரு பாட்டு எழுதுங்க,ஸ்கூல பத்தி ஒரு பாட்டு எழுது
பர்த்டே சாங் ஒன்னுசொல்லுங்க,பர்த்டே பாட்டு ஒன்னுசொல்லுங்க
குட் மார்னிங் பாட்டு ஒன்னுசொல்லுங்க,குட் மார்னிங் பாட்டுசொல்லுங்க
தூங்கும் போது பாடுற மாதிரி ஒரு ரைம்ஸ்சொல்லுங்க,தூங்கும்போது கேக்குற மாதிரி ஒரு ரைம்ஸ்சொல்லுங்க
திருவிழா பாட்டு ஒன்னு எழுதுங்க,திருவிழா பாட்டு ஒன்னு எழுது
நேர்மைனா என்ன,நேர்மைனா என்னங்கய்யா
நாம ஏன் பெரியவங்களை மதிக்கணும்,பெரியவங்கள மதிக்கிறது எப்புடி
இரக்கம்னா என்ன,இரக்கம்னா என்னங்கப்பு
மத்தவங்களுக்கு கொடுத்து பழகுறது பத்திசொல்லுங்க,மத்தவங்களுக்கு குடுங்கத்து பழகுறது பத்திசொல்லுங்க
நாம ஏன் தேங்க்ஸ் சொல்லணும்,தேங்க்ஸ் ஏன் சொல்லணும்
ஒழுக்கம்னா என்ன,ஒழுக்கம்னா என்ன
ஏன் மத்தவங்களுக்கு ஹெல்ப் பண்ணணும்,ஏன் மத்தவங்களுக்கு ஹெல்ப் பண்ணணும்
நட்புனா என்னன்னுசொல்லுங்க,நட்புனா என்னன்னுசொல்லுங்க
நல்ல பழக்கம்னா என்ன,நல்ல பழக்கம்னா என்ன
ரூல்ஸை ஏன் ஃபாலோ பண்ணணும்,ரூல்ஸை ஏன் ஃபாலோ பண்ணணும்
நாம ஏன் பல் தேய்க்கணும்,ஏன் டெய்லி பல் தேய்க்கணும்
நாம ஏன் கை கழுவணும்,ஏன் அடிக்கடி கை கழுவணும்
ஹெல்தி ஃபுட் அப்படின்னா என்ன,ஹெல்தி ஃபுட்-னா என்ன
எக்சர்சைஸ் எதுக்கு பண்ணணும்,எக்சர்சைஸ் எதுக்கு பண்ணணும்
தூக்கம்னா என்ன,தூக்கம்னா என்ன
ஏன் தண்ணி குடிக்கணும்,ஏன் தண்ணி குடிக்கணும்
யூனிஃபார்ம் ஏன் போடணும்,யூனிஃபார்ம் ஏன் போடுறோம்
குடுங்கம்பம்னா என்ன,குடுங்கம்பம்னா என்னங்கய்யா
ஸ்கூல்னா என்ன,ஸ்கூல்னா என்ன
பார்க்குக்கு ஏன் போகணும்,பார்க்குக்கு ஏன் போகணும்
என்னால பறக்க முடிஞ்சா எப்படி இருக்கும்,என்னால பறக்க முடிஞ்சா எப்புடி இருக்கும்
ஒருவேளை விலங்குகள் பேசினா எப்படி இருக்கும்,விலங்குகள் எல்லாம் நம்மகிட்ட பேசுனா எப்புடி இருக்கும்
என்கிட்ட ஒரு சூப்பர் பவர் இருந்தா,என்கிட்ட ஒரு சூப்பர் பவர் இருந்தா
நான் விண்வெளியில வாழ்ந்தா எப்படி இருக்கும்,நான் விண்வெளியில வாழ்ந்தா எப்புடி இருக்கும்
பொம்மைகளுக்கெல்லாம் உயிர் வந்தா,பொம்மைகளுக்கெல்லாம் உயிர் வந்தா
ஃபியூச்சர்ல ஸ்கூல் எப்படி இருக்கும்னு கற்பனை பண்ணுங்க,ஃபியூச்சர்ல ஸ்கூல் எப்புடி இருக்கும்
ஒரு கனவு உலகத்தை உருவாக்குங்க,ஒரு கனவு உலகத்தை உருவாக்கு
ரோபோ நண்பன் இருந்தா எப்படி இருக்கும்னு யோசியுங்க,ரோபோ நண்பன் இருந்தா எப்புடி இருக்கும்
புதுசா ஒரு விலங்கை கற்பனை செஞ்சு உருவாக்குங்க,புதுசா ஒரு விலங்கை உருவாக்கு
டைம் டிராவல் பத்தி கற்பனை பண்ணிசொல்லுங்க,டைம் டிராவல் பத்திசொல்லுங்க
ஒரு டெสต์ பேப்பர் ரெடி பண்ணுங்க,ஒரு டெஸ்ட் பேப்பர் ரெடி பண்ணுங்க
ரிவிஷன் பண்றதுக்கு நோட்ஸ் குடுங்க,ரிவிஷன் பண்ண நோட்ஸ் குடுங்க
இந்த பதிலை எக்ஸ்ப்ளைன் பண்ணுங்க,இந்த பதில விளக்கிசொல்லுங்க
நான் எழுதின ஆன்சரை செக் பண்ணுங்க,நான் எழுதின பதில செக் பண்ணுங்க
பிராக்டிஸ் பண்றதுக்கு கேள்விகள் குடுங்க,பிராக்டிஸ் பண்ண கேள்விகள் குடுங்க
எம்சிக்யூ கேள்விகள் ரெடி பண்ணுங்க,எம்சிக்யூ (MCQ) கேள்வி எடு
ஒரு மார்க் கேள்விகள்சொல்லுங்க,ஒரு மார்க் கேள்விசொல்லுங்க
ரெண்டு மார்க் கேள்விகள்சொல்லுங்க,ரெண்டு மார்க் கேள்விசொல்லுங்க
சின்ன சின்ன பதில்கள்சொல்லுங்க,சின்னதா பதில்சொல்லுங்க
பெரிய பதில்கள்சொல்லுங்க,அஞ்சு மார்க் பெரிய பதில்சொல்லுங்க
ஒரு கதை மாதிரிசொல்லுங்க,ஒரு கதை மாதிரிசொல்லுங்க
இதை ஜோக்காசொல்லுங்க,இதை ஜோக்காசொல்லுங்க
இதை சிம்பிளா மாத்துங்க,இதை மொக்கையா மாத்து
மறுபடியும்சொல்லுங்க,மறுபடிசொல்லுங்கப்பா
ஒரு உதாரணம் குடுங்க,ஒரு உதாரணம் குடுங்க
ஸ்டெப் பை ஸ்டெப்பா காட்டுங்க,ஒவ்வொரு படியாசொல்லுங்க
படங்களை யூஸ் பண்ணுங்க,படம் போட்டு காட்டு
கொஞ்சம் சுருக்கமா பதில்சொல்லுங்க,கொஞ்சம் சுருக்கமாசொல்லுங்க
கொஞ்சம் விரிவா பதில்சொல்லுங்க,கொজ্জামান விரிவாசொல்லுங்க
மெதுவா சொல்லிக் கொடுங்க,மெதுவா சொல்லிக் குடுங்க
திருவிழானா என்ன,திருவிழானா என்னங்கய்யா
எதுக்கு பர்த்டே கொண்டாடணும்,எதுக்கு பர்த்டே கொண்டாடணும்
லீவுனா என்ன,லீவுனா என்ன
மியூசியம்னா என்ன,மியூசியம்னா என்ன
ஜூ-னா என்ன,ஜூ (Zoo)-னா என்ன
பூங்கானா என்ன,பூங்கானா என்ன
ஏன் டிராவல் பண்ணணும்,ஏன் ஊர் சுத்தணும்
ட்ரெயின்னா என்ன,ட்ரெயின்னா என்ன
பிளேன்னா என்ன,பிளேன்னா என்ன
பஸ்னா என்ன,பஸ்னா என்ன
படிக்கிறதை ஜாலியா மாத்துங்க,படிக்கிறதை ஜாலியா மாத்து
ஞாபகம் வச்சுக்க ஹெல்ப் பண்ணுங்க,ஞாபகம் வச்சுக்க ஹெல்ப் பண்ணுங்க
திரும்பவும் எக்ஸ்ப்ளைன் பண்ணுங்க,மறுபடி விளக்கிசொல்லுங்க
ஒரு டெஸ்ட் வையுங்க,ஒரு டெஸ்ட் வை
என்கிட்ட கேள்வி கேளுங்க,என்கிட்ட கேள்வி கேளு
ஒரு கதைசொல்லுங்க,ஒரு கதைசொல்லுங்க
நோட்ஸ் எடுங்க,நோட்ஸ் எடு
இதை சிம்பிளாக்குங்க,இதை சிம்பிளாக்கு
எனக்கு புரிய வையுங்க,எனக்கு புரிய வை
எனக்கு கத்துக் கொடுங்க,எனக்கு கத்துக் குடுங்க
மழைனா என்ன,மழைனா என்ன
மேகம்னா என்ன,மேகம்னா என்ன அது ஏன் கருப்பா இருக்கு
ஏன் இடி இடிக்குது,ஏன் இடி இடிக்குது
பனினா என்ன,பனினா என்ன அது ஏன் அவ்ளோ குளிருது
ஏன் இவ்வளவு குளிருது,ஏன் இவ்வளவு குளிருது
ஏன் இவ்வளவு சுடுது,ஏன் இவ்வளவு சுடுது
சீசன்னா என்ன,சீசன்னா என்ன
வெயில் காலம்னா என்ன,வெயில் காலம்னா என்ன
குளிர் காலம்னா என்ன,குளிர் காலம்னா என்ன
மழைக்காலம்னா என்ன,மழைக்காலம்னா என்ன
இலைகள் ஏன் உதிருது,இலைகள் ஏன் மரத்துல இருந்து உதிருது
பூக்கள் ஏன் பூக்குது,பூக்கள் ஏன் பூக்குது
விதைனா என்ன,விதைனா என்ன
செடிகள் எப்படி வளருது,செடி எப்புடி வளருது
செடிகளுக்கு ஏன் தண்ணி ஊத்தணும்,செடிகளுக்கு ஏன் தண்ணி ஊத்தணும்
மண்ணுனா என்ன,மண்ணுனா என்ன
விவசாயினா யாரு,விவசாயினா யாரு
ஃபுட் செயின்னா என்ன,ஃபுட் செயின் (Food Chain)-னா என்ன
ரீசைக்கிள்னா என்ன,ரீசைக்கிள்னா என்ன
பூமியை ஏன் காப்பாத்தணும்,பூமியை ஏன் நாம காப்பாத்தணும்
இந்த லெசனை ஈஸியா எக்ஸ்ப்ளைன் பண்ணுங்க,இந்த லெசனை ஈஸியா விளக்கு
இந்த பாடத்தை சுருக்கமாசொல்லுங்க,இந்த பாடத்தை சுருக்கமாசொல்லுங்க
இந்த டாபிக்கில் இருந்து நோட்ஸ் ரெடி பண்ணுங்க,இந்த டாபிக்கில் இருந்து நோட்ஸ் எடு
முக்கியமான கேள்விகள் குடுங்க,முக்கியமான கேள்விகள் குடுங்க
எக்ஸாம்ல என்ன கேள்வி வரும்னு கெஸ் பண்ணுங்க,எக்ஸாம்ல என்ன வரும்னு கெஸ் பண்ணுங்க
இந்த லெசன்ல இருந்து எம்சிக்யூ ரெடி பண்ணுங்க,எம்சிக்யூ ரெடி பண்ணுங்க
சின்னதா நோட்ஸ் குடுங்க,சின்னதா நோட்ஸ் குடுங்க
உதாரணம் வச்சு எக்ஸ்ப்ளைன் பண்ணுங்க,உதாரணம் வச்சுசொல்லுங்க
இதை புல்லட் பாயிண்ட்ஸ் ஆக மாத்துங்க,இதை வரிசையா பாயிண்ட் பாயிண்ட்டா போடு
இந்த பாடத்தை ஒருவாட்டி ரிவிஷன் பண்ணுங்க,ஒருவாட்டி ரிவிஷன் பண்ணுங்க
ஒரு மார்க் கேள்விகள்சொல்லுங்க,ஒரு மார்க் கேள்விசொல்லுங்க
ரெண்டு மார்க் கேள்விகள்சொல்லுங்க,ரெண்டு மார்க் கேள்விசொல்லுங்க
அஞ்சு மார்க் பதில்கள்சொல்லுங்க,அஞ்சு மார்க் பதில்சொல்லுங்க
விரிவான பதில் எக்ஸ்பிளனேஷன் குடுங்க,விரிவா விளக்கிசொல்லுங்க
இது ரெண்டுக்கும் என்ன வித்தியாசம்,இதுக்கும் அதுக்கும் என்ன வித்தியாசம்
இந்த வார்த்தைக்கு விளக்கம்சொல்லுங்க,இந்த வார்த்தையை விளக்கு
இந்த டயக்ராமை எக்ஸ்ப்ளைன் பண்ணுங்க,இந்த படத்தை விளக்கிசொல்லுங்க
இந்த கணக்கை போடுங்க,இந்த கணக்கை போடு
ஸ்டெப் பை ஸ்டெப்பா தீர்வு குடுங்க,ஒவ்வொரு படியாசொல்லுங்க
நான் எழுதின பதிலை செக் பண்ணுங்க,நான் எழுதினதை செக் பண்ணுங்க
பொல்யூஷன் பத்தி ஒரு கட்டுரை எழுதுங்க,மாசுபடுதல் பத்தி ஒரு கட்டுரை எழுது
பிரின்சிபாலுக்கு ஒரு லெட்டர் எழுதுங்க,பிரின்சிபாலுக்கு ஒரு லெட்டர் எழுது
ஸ்கூல் நோட்டீஸ் ஒன்னு ரெடி பண்ணுங்க,ஒரு நோட்டீஸ் ரெடி பண்ணுங்க
அசெம்பிளி ஸ்பீச் ஒன்னு எழுதி குடுங்க,அசெம்பிளிக்கு ஸ்பீச் எழுதி குடுங்க
நான் எழுதின மேட்டரை இன்னும் நல்லா மாத்துங்க,நான் எழுதினதை இன்னும் அழகாக்கு
கிராமர் மிஸ்டேக்களை கரெக்ட் பண்ணுங்க,கிராமர் தப்பை சரி பண்ணுங்க
இதை சிம்பிள் இங்கிலீஷ்ல திரும்ப எழுதுங்க,இதை சிம்பிள் இங்கிலீஷ்ல எழுது
தமிழை இங்கிலீஷுக்கு டிரான்ஸ்லேட் பண்ணுங்க,தமிழை இங்கிலீஷுக்கு மாத்து
இங்கிலீஷை தமிழுக்கு டிரான்ஸ்லேட் பண்ணுங்க,இங்கிலீஷை தமிழுக்கு மாத்து
இந்த பாராவை சுருக்கமாசொல்லுங்க,இந்த பாராவை சுருக்கமாசொல்லுங்க
இந்த கதையை இன்னும் பெருசாக்குங்க,கதையை இன்னும் கொஞ்சம் பெருசாக்கு
ஒரு டயலாக் எழுதுங்க,ஒரு டயலாக் எழுது
இந்த கதையோட முடிவை எழுதுங்க,கதைக்கு ஒரு முடிவு எழுது
இதை ஆக்டிவ் டூ பாசிவ் வாய்ஸ் ஆக மாத்துங்க,ஆக்டிவ் டூ பாசிவ் வாய்ஸா மாத்து
டைரக்ட் ஸ்பீச்சை இன்டைரக்ட் ஸ்பீச்சா மாத்துங்க,டைரக்ட் ஸ்பீச்சை இன்டைரக்ட் ஸ்பீச்சா மாத்து
இதே அர்த்தம் வர்ற வேற வார்த்தைகளைசொல்லுங்க,வேற வார்த்தைசொல்லுங்க
எதிர்ச்சொற்களைசொல்லுங்க,எதிர்ச்சொல்சொல்லுங்க
இந்த வேர்டை வச்சு ஒரு சென்டென்ஸ் உருவாக்குங்க,இந்த வார்த்தைய வச்சு ஒரு வரி எழுது
இது புரிஞ்சுதான்னு கேள்விகள் கேளுங்க,புரிஞ்சுதான்னு கேள்வி கேளு
இந்த கேள்விகளுக்கு பதில்சொல்லுங்க,இந்த கேள்விக்கு பதில்சொல்லுங்க
அல்ஜீப்ரா ப்ராப்ளத்தை சால்வ் பண்ணுங்க,அல்ஜீப்ரா கணக்க போடு
குவாட்ராடிக் ஈக்ன் பண்ணுங்ககுவேஷனை எக்ஸ்ப்ளை,குவாட்ராடிக் ஈக்குவேஷனை விளக்கு
இதை இன்னும் சிம்பிளா மாத்துங்க,இதை இன்னும் சிம்பிளாக்கு
ஜியோமெட்ரி ப்ராப்ளத்தை சால்வ் பண்ணுங்க,ஜியோமெட்ரி கணக்க போடு
இந்த தியரத்தை எக்ஸ்ப்ளைன் பண்ணுங்க,தியரத்தை எக்ஸ்ப்ளைன் பண்ணுங்க
இந்த சம்மை நிரூபியுங்க,இந்த கணக்கை நிரூபிச்சு காட்டு
ட்ரிக்னோமெட்ரி எக்ஸ்பிளனேஷன் குடுங்க,ட்ரிக்னோமெட்ரி விளக்கு
இந்த வேர்டட் ப்ராப்ளத்தை சால்வ் பண்ணுங்க,வேர்ட் ப்ராப்ளம் சால்வ் பண்ணுங்க
ஏரியா மற்றும் சுற்றளவை கண்டுபிடியுங்க,பரப்பளவு சுற்றளவு கண்டுபிடி
