normal_tamil,theni_slang
மரங்களில் ஒரு பத்தி எழுதவும்,மரங்களைப் பத்தி ஒரு பத்தி மெனக்கெட்டு எழுதித் தாங்க
இந்த பாடத்தை சுருக்கவும்,இந்தப் பாடத்தை சுருக்கமாச் சொல்லுங்க
தேர்வுக்கான குறிப்புகளை கொடுங்கள்,எக்ஸாம்ல ஜெயிக்கிறதுக்கு நல்ல ஐடியா கொஞ்சம் கொடுங்கப்பா
ஏழாம் அட்டவணையை விளக்கவும்,அந்த ஏழாம் வாய்ப்பாட்டை கொஞ்சம் பாடம் சொல்லிக் குடுங்க
ஒரு நாயைப் பற்றிய கதையை எழுதுங்கள்,ஒரு நாயைப் பற்றிய கதையை எழுதுங்க
மழை பற்றி ஒரு கவிதை செய்யுங்கள்,மழை பத்தி ஒரு கவிதை சொல்லுங்க
என் அம்மாவைப் பற்றி ஒரு கட்டுரை எழுதுங்கள்,எங்க அம்மாவைப் பத்தி ஒரு கட்டுரை எழுதித் தாங்கப்பா
எனது இலக்கணத்தைத் திருத்தவும்,இந்த எழுத்துல ஏதாச்சும் தப்பு இருந்தா சரி பண்ணி விடுங்க
இந்த வாக்கியத்தை மீண்டும் எழுதவும்,இந்த வாசகத்த மறுபடியும் ஒருவாட்டி எழுதிக்கொடுங்கப்பா
இதை எளிதாக ஆங்கிலமாக்குங்கள்,இத கொஞ்சம் இங்கிலீஷ்ல மாத்தித் தாங்கப்பா
இதற்கு இணையான சொற்களைக் கொடுங்கள்,இந்த வார்த்தைக்குப் பொருந்துற வேற வார்த்தைகளை சொல்லுங்கப்பா
மகிழ்ச்சி என்பதை பயன்படுத்தி வாக்கியங்களை எழுதவும்,மகிழ்ச்சி வார்த்தையை வச்சு ஒரு பத்து வரி சொல்லுங்க
ஒரு ரைம் உருவாக்கவும்,ஒரு சின்ன பாட்டு ஒண்ணு கட்டித் தாங்கப்பா
உரையைப் பயன்படுத்தி பூனையை வரையவும்,இந்த எழுத்தை வச்சே ஒரு பூனை படம் வரைஞ்சு காட்டுங்கப்பா
கார்ட்டூன் கதையை உருவாக்கவும்,ஒரு சூப்பரான கார்ட்டூன் கதை சொல்லுங்க
ஒரு விசித்திரக் கதையை எழுதுங்கள்,ஏதாச்சும் ஒரு விசித்திரமான கதையை எழுதுங்க
ஒரு வேடிக்கையான ஜோக் செய்யுங்கள்,நல்லா சிரிக்கிற மாதிரி ஒரு ஜோக் சொல்லுங்கப்பா
குழந்தைகளுக்கான புதிர்களை உருவாக்கவும்,சிறுசுகளுக்குப் புரியுற மாதிரி விடுகதை பண்ணுங்க
தூங்கும் நேரக் கதையை எழுதுங்கள்,தூங்குறப்போ கேக்குற மாதிரி ஒரு கதை எழுதுங்க
ஒரு நகைச்சுவை யோசனையை உருவாக்கவும்,ஏதாச்சும் ஒரு நகைச்சுவையான யோசன சொல்லுங்கப்பா
ஒரு சூப்பர் ஹீரோவைக் கண்டுபிடி,புதுசா ஒரு சூப்பர் ஹீரோவ கண்டுபிடிங்க
ஒரு மந்திர நிலத்தை விவரிக்கவும்,மந்திர உலகம் எப்படி இருக்கும்னு சொல்லுங்க
நாக்கு ட்விஸ்டர்களை உருவாக்கவும்,நாக்கு சுளுக்குற மாதிரி டங் ட்விஸ்டர் சொல்லுங்க
இந்த எண்களைச் சேர்க்கவும்,இந்த நம்பரெல்லாம் ஒண்ணா சேர்த்து சொல்லுங்க
இந்த எண்களைக் கழிக்கவும்,இந்த நம்பரெல்லாம் கழிச்சா எவ்வளவு வரும்
இருபதை நாலால் வகுக்கவும்,இருபத நாலால பங்கு போட்டுச் சொல்லுங்க
பின்னங்களை விளக்குக,பின்னம்னா என்னன்னு புரியுற மாதிரி சொல்லுங்க
இரட்டை எண் என்றால் என்ன,இரட்டை நம்பர்னா என்னன்னு சொல்லுங்க
ஒற்றைப்படை எண் என்றால் என்ன,ஒத்தப்படை நம்பர்னா என்ன
நேரம் என்றால் என்ன,நேரம்னா என்னப்பா
இந்தியா என்றால் என்ன,இந்தியா நாடுனா என்னன்னு பெருமையா சொல்லுங்க
பிரதமர் யார்,இப்ப நம்ம நாட்டோட பிரதமர் யாரு
விலங்குகள் என்றால் என்ன,விலங்குகள்னா என்ன
தாவரங்களை விளக்குங்கள்,தாவரங்கள பத்தி கொஞ்சம் விவரமாச் சொல்லுங்க
கடல் என்றால் என்ன,கடல்னா என்ன
பறவைகளுக்கு பெயரிடுங்கள்,நமக்குத் தெரிஞ்ச ஒரு அஞ்சு பறவை பேர சொல்லுங்க
பழங்களின் பெயர்,ஒரு பத்து பழத்தோட பேர சொல்லுங்க
வரைபடம் என்றால் என்ன,வரைபடம்னா என்ன
போக்குவரத்து விதிகளை விளக்குங்கள்,ரோட்டுல போறபோ என்னென்ன விதி பாக்கணும்னு சொல்லுங்க
நாம் ஏன் மரங்களை காப்பாற்ற வேண்டும்,நம்ம மரங்களை ஏன் காப்பாத்தணும்
காற்று என்றால் என்ன,காத்துன்னா என்ன
தண்ணீர் என்றால் என்ன,தண்ணின்னா என்ன
தாவரத்தின் பாகங்களை விளக்குங்கள்,செடி கொடி மரத்துல என்னென்ன பாகம் இருக்கு சொல்லுங்க
காந்தம் என்றால் என்ன,காந்தம்னா என்ன
மின்சாரம் என்றால் என்ன,கரண்டுன்னா என்னன்னு சொல்லுங்கப்பா
நாம் ஏன் உணவு உண்கிறோம்,நாம ஏன் சாப்பாடு சாப்பிடுறோம்
ஐம்புலன்கள் என்றால் என்ன,ஐம்புலன்கள்னா என்ன
ஒலி என்றால் என்ன,சத்தம்னா என்ன
வெப்பம் என்றால் என்ன,வெப்பம்னா என்னன்னு சொல்லுங்க
நமக்கு ஏன் வியர்க்கிறது,நமக்கு ஏன் வேர்க்குது
கணினி என்றால் என்ன,கணனின்னா என்ன
செயற்கை நுண்ணறிவு என்றால் என்ன,செயற்கை நுண்ணறிவுன்னா என்ன
கைபேசி எப்படி வேலை செய்கிறது,செல்லுப் போனு எப்புடிப்பா வேலை செய்யுது
இணையம் என்றால் என்ன,இன்டர்நெட்னா என்னன்னு சொல்லுங்க
ரோபோக்கள் உண்மையா,ரோபோட்டுங்க உண்மையாவே இருக்குதாப்பா
AI ஆல் சிந்திக்க முடியுமா,AI கும் நம்மள மாதிரி சிந்திக்க முடியுமா
விசைப்பலகை என்றால் என்ன,கீபோர்டுன்னா என்ன
சுட்டி பற்றி விளக்குங்கள்,மவுஸு பத்தி சொல்லுங்க
குறியீட்டு முறை என்றால் என்ன,கோடிங்னா என்னப்பா
வீட்டுப்பாடம் செய்ய AI உதவ முடியுமா,AI வச்சு வீட்டுப்பாடம் செஞ்சு முடிச்சிரலாமா
படிப்பு அட்டவணையை உருவாக்கவும்,படிக்கிறதுக்கு டைம் டேபிள் ஒண்ணு போட்டுக்குடுங்க
செய்ய வேண்டிய வேலைகளின் பட்டியலை உருவாக்கவும்,இன்னைக்கு என்னென்ன காரியம் பாக்கணும்னு ஒரு லிஸ்ட் போடுங்க
